,片名,導演,主演
134,我没谈完的那场恋爱,['赵宇'],"['于文文', '宋宁峰']"
135,寻人启示录,['秦凯'],"['李肖宁', '苏娜', '方越', '王美茜']"
136,遇见喵星人,[],"['艾伦', '王智', '黄才伦']"
137,三只小猪3正义大联萌,['刘炜'],['动画片']
138,革命者,['徐展雄'],"['张颂文', '李易峰', '佟丽娅', '彭昱畅', '秦昊', '白客', '章若楠', '辛云来', '孙浠伦']"
139,1921,"['黄建新', '郑大圣']","['黄轩', '倪妮', '王仁君', '刘昊然', '袁文康', '祖峰', '窦骁', '张颂文']"
140,中国医生,['刘伟强'],"['张涵予', '袁泉', '朱亚文']"
141,再见汪先森,['王大治'],"['萧子墨', '张国强', '吕晓霖', '柴碧云', '王迅', '杨新鸣', '李诚儒']"
142,红船,"['沈东', '王德庆']","['侯京健', '陈都灵', '王志飞', '张桐', '余少群', '唐国强', '俞灏明', '赵子琪']"
143,不在远方,"['沐太息', '姜大伟']","['高晓攀', '江欣烨', '郑岚', '杜玉明']"
144,新大头儿子和小头爸爸4：完美爸爸,"['何澄', '刘可欣']",['动画片']
145,俑之城,"['丁亮', '林永长']",['动画片']
146,大学,"['孙虹', '王静', '柯永权']",['纪录片']
147,天工苏作,['孙曾田'],['纪录片']
148,天下无拐,['张鑫'],"['吕良伟', '郑昊', '王婉娟', '赫子铭', '何政军', '张光北', '刘佳']"
149,二哥来了怎么办,['郑芬芬'],"['胡先煦', '邓恩熙', '郑伟', '代乐乐', '陈希圣', '哈妮克孜']"
150,终极代码,['吴治廷'],"['吴治廷', '孟璐', '大卫·贝利', '申军谊']"
151,济公之降龙降世,"['刘志江', '乔彧']",['动画片']
152,燃野少年的天空,"['张一白', '韩琰']","['彭昱畅', '许恩怡', '张宥浩', '尹正', '孙芮']"
153,足球爸爸,['米禾禾'],"['孟鹏', '刘国山', '平阳宗汉']"
154,摇摆神探,"['朱江', '万延冲', '高松涛']",['动画片']
155,三湾改编,['杨虎'],"['侯京健', '郭家豪']"
156,一席之地,['杨子城'],"['吕松浩', '杜伶俐']"
157,大城大楼,['谢鸣晓'],"['陈奕龙', '李媛', '佟瑞欣']"
158,白蛇2：青蛇劫起,[],['动画片']
159,贝肯熊2：金牌特工,['张扬'],['动画片']
160,七月的舞步,['曹岸'],"['张予曦', '黄小蕾', '姜超']"
161,巧虎魔法岛历险记,[],['动画片']
162,怒火·重案,['陈木胜'],"['甄子丹', '谢霆锋', '秦岚', '谭耀文', '黄德斌', '吴浩康', '何佩瑜', '汤君慈', '吕良伟', '任达华', '袁富华']"
163,盛夏未来,['郭大群'],"['张子枫', '吴磊', '郝蕾', '祖峰']"
164,站着等你三千年,['刘云舟'],"['王琪', '李鑫雨', '邵夏', '余冰慧']"
165,我的父亲焦裕禄,['范元'],"['郭晓东', '丁柳元', '严晓频', '寇振海']"
166,危险记忆,['郭大群'],"['丁海峰', '甘婷婷', '李东瀚', '乔乔']"
167,深潜日,['金鑫'],"['李学庆', '严蔚']"
168,测谎人,['杨沅翰'],"['马丽', '文章', '梁超', '马精武', '张双利', '于莎莎']"
169,深爱,"['孙周', '张洋']","['张丹峰', '王智', '张一鸣', '克拉拉', '孙淳']"
170,皮皮虾总裁,['陈小雨'],"['孙苏雅', '金阳', '杜旭东', '王宇晨']"
171,兔子暴力,['申瑜'],"['万茜', '李庚希', '黄觉', '潘斌龙', '是安']"
172,西游鱼之海底大冒险,['贾泽龙'],['动画片']
173,江湖喜事,['段连民'],"['郭金杰', '刘桦', '李子雄']"
174,忠犬流浪记,['桑凯·维杜朗'],['应昊茗']
175,你的情歌,['安竹间'],"['柯佳嬿', '傅孟柏', '谢博安']"
176,独家头条：初露锋芒,['周文武贝'],"['黄觉', '余佳淼', '刘帅良', '黄龄', '杜天皓', '车永莉']"
177,垛上花,['张少军'],"['魏宸靓', '岳鹏飞', '杨晓丹']"
178,再见，少年,['殷若昕'],"['张子枫', '张宥浩', '徐帆']"
179,最后一间房,['高博'],"['宋伊人', '倪虹洁']"
180,龙虎武师,['魏君子'],['纪录片']
181,不期而遇的夏天,['易寒'],"['陈创', '郭可轩', '郎月婷', '张磊', '秦海璐', '李梦']"
182,1950他们正年轻,['宋坤儒'],['纪录片']
